Input;Output
['accidentAddress | southwest_Houston', 'accidentDate | Wednesday', 'shootingType | drive-by_shooting', 'victimNumber | Four', 'victimStatus | injured'];Four people were injured in a drive-by shooting Wednesday in southwest Houston, according to Houston police.
['accidentAddress | restaurant_parking_lot_at_9550_Bissonnet_St.', 'accidentDate | around_5:40_p.m.', 'suspectVehicle | tan_Chevrolet_Tahoe', 'victimAge | 19_to_23', 'victimNumber | four', 'shootingType | opened_fire'];Police said four people ranging in ages from 19 to 23 were in a vehicle pulling into a restaurant parking lot at 9550 Bissonnet St. around 5:40 p.m. when a tan Chevrolet Tahoe pulled up next to them and opened fire on their vehicle.
"['suspectVehicle | Tahoe', 'shootingType | fired_additional_shots', ""victimVehicle | victim's vehicle""]";The Tahoe circled around and fired additional shots at the victims' vehicle, police said.
['accidentAddress | westbound_on_Bissonnet', 'suspectVehicle | Tahoe'];The driver of the Tahoe left the scene westbound on Bissonnet, according to officials.
['takenToHospital | True', 'victimNumber | one', 'victimStatus | stable_condition',  'victimNumber | other_three', 'shootingType | shooting'];Police said one of the shooting victims drove the other three victims to an area hospital, where authorities said they were in stable condition.
['accidentAddress | inside_an_Oceanway_home', 'accidentDate | early_Saturday_morning', 'victimNumber | Four', 'victimStatus | shot'];– Four people were shot early Saturday morning inside an Oceanway home, the Jacksonville Sheriff's Office said.
['accidentAddress | house_on_East_Eubanks_Street_near_Hollings_Street', 'personnelArrivedTime | 3:14_a.m.', 'victimAge | 17-year-old', 'victimGender | men',, 'victimGender | woman','victimGender | boy', 'victimNumber | two',  'victimNumber | one',  'victimNumber | one', 'victimStatus | shot'];Police responded to a house on East Eubanks Street near Hollings Street about 3:14 a.m. and found two men, a woman and a 17-year-old boy shot, officials said.
['suspectGender | man', 'shootingType | fired_into_a_home', 'suspectStatus | fled_the_scene'];The victims told investigators that a man fired into the home and fled the scene in a car, the Sheriff's office said.
['hospitalName | UF_Health_at_Jacksonville', 'takenToHospital | True', 'victimNumber | One', 'victimStatus | in_critical_condition'];One of the adults was taken to UF Health at Jacksonville in critical condition.
"['accidentDate | early_hours_of_Feb._14', 'shootingType | shooting_incident', 'suspectNumber | Three', ""suspectOccupation | owner_of_Dr._Rock's_nightclub"", 'suspectStatus | in_custody']";Three people, including the owner of Dr. Rock's nightclub, are in custody after a shooting incident in the early hours of Feb. 14.
['suspectBased | Eutaw', 'suspectName | Avery_Lynn_Hughes', 'suspectName | LaDexter_Tequan_Pelt', 'suspectAge | 23', 'suspectAge | 19', 'suspectStatus | face_several_charges_ranging_from_attempted_murder_to_assault'];Avery Lynn Hughes, 23, and LaDexter Tequan Pelt, 19, both of Eutaw, face several charges ranging from attempted murder to assault.
['suspectAge | 75-year-old', 'suspectName | Percy_Howard_Crawford', 'suspectOccupation | owner_of_the_nightclub', 'suspectStatus | charged_with_tempering_with_physical_evidence'];Percy Howard Crawford, the 75-year-old owner of the nightclub, is charged with tempering with physical evidence.
['accidentAddress | Bishop_Ford_Freeway_in_suburban_South_Holland', 'accidentDate | Sunday_night', 'shootingType | shooting', 'victimGender | men', 'victimNumber | Four', 'victimStatus | injured'];Four men were injured in a shooting Sunday night on the Bishop Ford Freeway in suburban South Holland, Illinois State Police said.
"['accidentAddress | northbound_on_I-94_near_159th_Street', 'accidentDate | around_11:02_p.m.', ""shootingType | shot's_fired""]";According to police, around 11:02 p.m. the men were in a vehicle going northbound on I-94 near 159th Street when shots were fired from another vehicle.
['hospitalName | Roseland_Community_Hospital', 'takenToHospital | True', 'victimNumber | four', 'victimStatus | non-life_threatening_injuries'];All four men were transported to Roseland Community Hospital with non-life threatening injuries, Illinois State Police said.
['accidentAddress | municipal_center', 'accidentDate | Friday', 'shootingType | mass_shooting'];On Friday, the husband of one of the victims of the mass shooting at the municipal center got an unimaginable phone call.
['victimGender | wife', 'victimStatus | called_and_said_she_was_shot'];His wife called and said she had been shot, according to a neighbor who spoke to News 3.
['victimAge | 42-year-old', 'victimName | Katherine_Nixon', 'victimOccupation | veteran_civil_engineer_for_the_City_of_Virginia_Beach', 'victimStatus | making_the_phone_call'];The person making that phone call was 42-year-old Katherine Nixon, a veteran civil engineer for the City of Virginia Beach.
['hospitalName | Sentara_Virginia_Beach_Hospital', 'victimName | Nixon', 'victimStatus | died'];Nixon later died from her injuries at Sentara Virginia Beach Hospital.
['victimName | Nixon', 'victimOccupation | president_of_the_Pembroke_Meadows_Civic_League'];Nixon is currently president of the Pembroke Meadows Civic League, a community in Virginia Beach of more than 400 homes.
['victimName | Nixon', 'victimStatus | grew_up_in_Bakersfield, _California', 'victimStatus | graduated_from_Bakersfield_High_School'];Family tells the Bakersfield CBS affiliate that Nixon grew up in Bakersfield, California, and graduated from Bakersfield High School in 1994.
['accidentAddress | Depot_in_Philadelphia,_Mississippi', 'accidentDate | Saturday_night', 'victimAge | 18_to_45', 'victimNumber | Four', 'shootingType | shot'];Four people, ages 18 to 45, were shot Saturday night at a gathering at the Depot in Philadelphia, Mississippi, police told the Neshoba Democrat.
"['accidentAddress | 256__W._Beacon_St.', 'accidentDate | 10_p.m.', ""shootingType | shot's_fired""]";Police received numerous calls of shots fired at about 10 p.m. at 256  W. Beacon St., the paper reported.
['takenToHospital | True', 'victimNumber | Four', 'victimStatus | gunshot_wounds'];Four victims were taken by personal vehicle to local hospitals with gunshot wounds.
['hospitalName | University_of_Mississippi_Medical_Center_in_Jackson', 'victimNumber | Three', 'takenToHospital | True'];Three of those victims were subsequently airlifted to the University of Mississippi Medical Center in Jackson, media outlets reported.
['suspectStatus | arrested', 'datetime | Thursday'];"Multiple witnesses name shooter; suspect arrested without incident Thursday"
['accidentDate | last_weekend', 'suspectStatus | arrested', 'shootingType | fatal_shooting', 'accidentAddress | outside_of_a_bar'];Arlington police have made an arrest in connection with the fatal shooting that took place last weekend outside of a bar.
"[""accidentAddress | outside_of_the_Jumbo_Pocket_Sports_Bar_and_Billiards_on_the_city's_east_side"", 'victimAge | 24-year-old', 'victimGender | father', 'victimName | Ketron_Nathan', 'victimStatus | shot_and_killed']";Ketron Nathan, a 24-year-old father of three with another on the way, was shot and killed when someone opened fire on a crowd of people outside of the Jumbo Pocket Sports Bar and Billiards on the city's east side.
['shootingType | shooting', 'suspectAge | 21-year-old', 'suspectName | Alvin_Bell', 'suspectStatus | arrested', 'datetime | Thursday'];Police said Thursday they arrested 21-year-old Alvin Bell, identified by multiple witnesses as the gunman in the shooting, without incident.
['prisonName | Arlington_City_Jail', 'suspectGender | He', 'suspectStatus | faces_a_charge_of_murder', 'incidentType | $750,000_bond'];He is being held in the Arlington City Jail on $750,000 bond and faces a charge of murder.
['takenToHospital | True', 'victimNumber | Three', 'victimStatus | injured',  'victimStatus | not_suffer_life-threatening_injuries'];Three others who were injured in the shooting were hospitalized but did not suffer life-threatening injuries, police said.
"[""victimName | Ketron's brother Aleke"", 'victimName | Nathan', 'shootingType | shooting', 'victimStatus | injured']";Nathan's mother, Cassandra, said one of the others injured in the shooting was Ketron's brother Aleke.
['victimName | Aleke_Nathan', 'victimStatus | released_from_the_hospital', 'victimStatus | attended_a_vigil_for_his_slain_brother'];Aleke Nathan was later released from the hospital and attended a vigil for his slain brother.
